channel_id,id,title,url,date_added
UCVk4b-svNJoeytrrlOixebQ,108,"Mojo and Amazon Prime Monolinth??",https://www.youtube.com/watch?v=sAjHUzRDXhc,"2023-05-11 10:04:09"
UCUyeluBRhGPCW4rPe_UvBZQ,109,"Functional Programming IS NO BETTER than Object Oriented Programming | Prime Reacts",https://www.youtube.com/watch?v=FjfgIImzhxc,"2023-05-11 15:36:29"
UCerQaVkZZmSAcMMPPz5tDZQ,110,"Российский солдат воевавший в Украине, рассказывает. Елена Васильева Павел Филатьев Гари Юрий Табах",https://www.youtube.com/watch?v=dtlGriRYeXw,"2023-05-11 16:52:03"
UChU3lfZCyVKtVH2i10T31nw,111,"Почему Мы Стремимся К Деньгам? | Маргулан Сейсембаев",https://www.youtube.com/watch?v=iGknm_2Z408,"2023-05-11 17:07:09"
UCUyeluBRhGPCW4rPe_UvBZQ,112,"🚨 LIVE 🚨 Learning Zig | Day 3",https://www.youtube.com/watch?v=XNVJhU2d_io,"2023-05-11 18:37:48"
UCsBjURrPoezykLs9EqgamOA,113,"10 crazy announcements from Google I/O",https://www.youtube.com/watch?v=nmfRDRNjCnM,"2023-05-11 21:08:52"
UCpakYOycn3O5W5S50l-0VIg,114,"Сергей Алексашенко: Валюта наша проблемы ваши.",https://www.youtube.com/watch?v=-5ZImgqgynI,"2023-05-12 03:26:33"
UCerQaVkZZmSAcMMPPz5tDZQ,115,"Did NATO promise Russia not to expend? Did NATO promised to help Ukraine? Gary Yuri Tabach",https://www.youtube.com/watch?v=rFuORh5NeMg,"2023-05-12 08:27:58"
UCUyeluBRhGPCW4rPe_UvBZQ,116,"Gitlab DELETING Production Databases | Prime Reacts",https://www.youtube.com/watch?v=1u08QZyjguo,"2023-05-12 15:46:15"
UCerQaVkZZmSAcMMPPz5tDZQ,117,"Чем и кем будет наступать украина. Кто реально помогает. Кто настоящий враг. Гари Юрий Тавах",https://www.youtube.com/watch?v=mnREECEmhL4,"2023-05-12 16:01:21"
UChU3lfZCyVKtVH2i10T31nw,118,"Не Совершайте Эти Ошибки! | Маргулан Сейсембаев",https://www.youtube.com/watch?v=uQjg4b3FOiM,"2023-05-12 17:16:53"
UCUyeluBRhGPCW4rPe_UvBZQ,119,"🚨 LIVE 🚨 Learning Zig - Building Data Structures",https://www.youtube.com/watch?v=lQq6pUkDuiw,"2023-05-12 18:56:53"
UCWg8qBLp6wkDs7hVYe_SW6A,120,"ЗА КАЖДЫЙ ВЫЙГРАНЫЙ РАУНД РАНДОМ ПОЛУЧАЕТ 50G💰STANDOFF2/СТАНДОФФ2",https://www.youtube.com/watch?v=5g1NnpOayxg,"2023-05-12 20:27:31"
